country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,154,LNPQ,2010-08-18,2019-01-01,7
AUS,154,LNPQ,2010-08-18,2019-02-01,3
AUS,154,LNPQ,2010-08-18,2019-03-01,6
AUS,154,LNPQ,2010-08-18,2019-04-01,24
AUS,154,LNPQ,2010-08-18,2019-05-01,9
AUS,154,LNPQ,2010-08-18,2019-06-01,5
AUS,154,LNPQ,2010-08-18,2019-08-01,1
AUS,154,LNPQ,2010-08-18,2019-10-01,2
AUS,154,LNPQ,2010-08-18,2019-12-01,1
AUS,154,LNPQ,2010-08-18,2020-01-01,3
AUS,154,LNPQ,2010-08-18,2020-02-01,9
AUS,154,LNPQ,2010-08-18,2020-03-01,5
AUS,154,LNPQ,2010-08-18,2020-05-01,5
AUS,154,LNPQ,2010-08-18,2020-07-01,2
AUS,154,LNPQ,2010-08-18,2020-08-01,3
AUS,154,LNPQ,2010-08-18,2020-09-01,3
AUS,154,LNPQ,2010-08-18,2020-10-01,150
AUS,154,LNPQ,2010-08-18,2020-11-01,1
AUS,154,LNPQ,2010-08-18,2021-01-01,2
AUS,154,LNPQ,2010-08-18,2021-02-01,1
AUS,154,LNPQ,2010-08-18,2021-03-01,1
AUS,154,LNPQ,2010-08-18,2021-04-01,2
AUS,154,LNPQ,2010-08-18,2021-05-01,1
AUS,154,LNPQ,2010-08-18,2021-06-01,34
AUS,154,LNPQ,2010-08-18,2021-07-01,5
AUS,154,LNPQ,2010-08-18,2021-08-01,5
AUS,154,LNPQ,2010-08-18,2021-09-01,13
AUS,154,LNPQ,2010-08-18,2021-10-01,3
AUS,154,LNPQ,2010-08-18,2021-11-01,4
AUS,154,LNPQ,2010-08-18,2021-12-01,6
AUS,154,LNPQ,2010-08-18,2022-01-01,3
AUS,154,LNPQ,2010-08-18,2022-02-01,2
AUS,154,LNPQ,2010-08-18,2022-03-01,5
AUS,154,LNPQ,2010-08-18,2022-04-01,43
AUS,154,LNPQ,2010-08-18,2022-05-01,35
AUS,154,LNPQ,2010-08-18,2022-06-01,32
AUS,154,LNPQ,2010-08-18,2022-07-01,29
AUS,154,LNPQ,2010-08-18,2022-08-01,18
AUS,154,LNPQ,2010-08-18,2022-09-01,19
AUS,154,LNPQ,2010-08-18,2022-10-01,24
AUS,154,LNPQ,2010-08-18,2022-11-01,11
AUS,154,LNPQ,2010-08-18,2022-12-01,7
AUS,154,LNPQ,2010-08-18,2023-01-01,12
AUS,154,LNPQ,2010-08-18,2023-02-01,17
AUS,154,LNPQ,2010-08-18,2023-03-01,10
AUS,154,LNPQ,2010-08-18,2023-04-01,2
AUS,154,LNPQ,2010-08-18,2023-05-01,2
AUS,154,LNPQ,2010-08-18,2023-06-01,4
AUS,154,LNPQ,2010-08-18,2023-07-01,7
AUS,154,LNPQ,2010-08-18,2023-08-01,1
AUS,154,LNPQ,2010-08-18,2023-09-01,2
AUS,154,LNPQ,2010-08-18,2023-10-01,2
AUS,154,LNPQ,2010-08-18,2023-11-01,5
AUS,154,LNPQ,2010-08-18,2023-12-01,8
AUS,184,NCP|NPA,2010-09-20,2010-09-01,15
AUS,184,NCP|NPA,2010-09-20,2010-10-01,16
AUS,184,NCP|NPA,2010-09-20,2010-11-01,1
AUS,184,NCP|NPA,2010-09-20,2010-12-01,7
AUS,184,NCP|NPA,2010-09-20,2011-01-01,16
AUS,184,NCP|NPA,2010-09-20,2011-02-01,5
AUS,184,NCP|NPA,2010-09-20,2011-03-01,4
AUS,184,NCP|NPA,2010-09-20,2011-04-01,21
AUS,184,NCP|NPA,2010-09-20,2011-05-01,18
AUS,184,NCP|NPA,2010-09-20,2011-06-01,8
AUS,184,NCP|NPA,2010-09-20,2011-07-01,44
AUS,184,NCP|NPA,2010-09-20,2011-08-01,76
AUS,184,NCP|NPA,2010-09-20,2011-09-01,32
AUS,184,NCP|NPA,2010-09-20,2011-10-01,4
AUS,184,NCP|NPA,2010-09-20,2011-11-01,9
AUS,184,NCP|NPA,2010-09-20,2011-12-01,5
AUS,184,NCP|NPA,2010-09-20,2012-01-01,3
AUS,184,NCP|NPA,2010-09-20,2012-02-01,5
AUS,184,NCP|NPA,2010-09-20,2012-03-01,6
AUS,184,NCP|NPA,2010-09-20,2012-04-01,25
AUS,184,NCP|NPA,2010-09-20,2012-05-01,14
AUS,184,NCP|NPA,2010-09-20,2012-06-01,10
AUS,184,NCP|NPA,2010-09-20,2012-07-01,7
AUS,184,NCP|NPA,2010-09-20,2012-08-01,18
AUS,184,NCP|NPA,2010-09-20,2012-09-01,75
AUS,184,NCP|NPA,2010-09-20,2012-10-01,8
AUS,184,NCP|NPA,2010-09-20,2012-11-01,3
AUS,184,NCP|NPA,2010-09-20,2012-12-01,6
AUS,184,NCP|NPA,2010-09-20,2013-01-01,4
