country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
CYP,2741,DP,2018-05-17,2022,79
CYP,2741,DP,2018-05-17,2023,96
CYP,491,EK,2010-09-06,2010,2
CYP,491,EK,2010-09-06,2011,106
CYP,491,EK,2010-09-06,2012,29
CYP,491,EK,2010-09-06,2013,48
CYP,491,EK,2010-09-06,2014,17
CYP,491,EK,2010-09-06,2015,73
CYP,491,EK,2010-09-06,2016,11
CYP,572,AKEL,2011-12-09,2011,3
CYP,572,AKEL,2011-12-09,2012,8
CYP,572,AKEL,2011-12-09,2013,78
CYP,572,AKEL,2011-12-09,2014,136
CYP,572,AKEL,2011-12-09,2015,36
CYP,572,AKEL,2011-12-09,2016,33
CYP,572,AKEL,2011-12-09,2017,101
CYP,572,AKEL,2011-12-09,2018,144
CYP,572,AKEL,2011-12-09,2019,187
CYP,572,AKEL,2011-12-09,2020,245
CYP,572,AKEL,2011-12-09,2021,277
CYP,572,AKEL,2011-12-09,2022,136
CYP,572,AKEL,2011-12-09,2023,156
CYP,851,DIKO,2015-05-15,2015,28
CYP,851,DIKO,2015-05-15,2016,75
CYP,851,DIKO,2015-05-15,2017,54
CYP,851,DIKO,2015-05-15,2018,37
CYP,851,DIKO,2015-05-15,2019,11
CYP,851,DIKO,2015-05-15,2020,106
CYP,851,DIKO,2015-05-15,2021,187
CYP,851,DIKO,2015-05-15,2022,59
CYP,851,DIKO,2015-05-15,2023,60
